pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0301,T040-A,T040-B,TECH_040,TECH_040,Technology,easy,paraphrase,MettaBotics Unveils Home Assistant Robot,"Robotics company MettaBotics unveiled a new home assistant robot Friday, designed to handle basic chores like tidying and simple cooking prep using onboard AI.",MettaBotics Debuts AI-Powered Household Robot,"MettaBotics introduced a household robot this week capable of performing routine chores using onboard artificial intelligence, positioning it as an early entrant in the consumer robotics market.",2026-05-01,2026-05-01,"Tokyo, Japan","Tokyo, Japan",MettaBotics; home assistant robot,MettaBotics; household robot,SAME_EVENT,Both articles describe the same MettaBotics home robot unveiling on the same date.
P0302,T040-C,T040-A,TECH_040,TECH_040,Technology,medium,different_source,First Look: MettaBotics' New Household Robot,"Hands-on impressions of MettaBotics' newly unveiled home robot are cautiously positive, reviewers said this week, though several noted the $2,400 price tag could limit early adoption.",MettaBotics Unveils Home Assistant Robot,"Robotics company MettaBotics unveiled a new home assistant robot Friday, designed to handle basic chores like tidying and simple cooking prep using onboard AI.",2026-05-03,2026-05-01,"Tokyo, Japan","Tokyo, Japan",MettaBotics; robot pricing,MettaBotics; home assistant robot,SAME_EVENT,A pricing-and-reviews follow-up covering the same robot unveiling reported days earlier.
P0303,T040-A,T041-A,TECH_040,TECH_041,Technology,easy,same_entity_different_event,MettaBotics Unveils Home Assistant Robot,"Robotics company MettaBotics unveiled a new home assistant robot Friday, designed to handle basic chores like tidying and simple cooking prep using onboard AI.",MettaBotics Recalls Earlier Robot Model,"MettaBotics issued a recall Tuesday for an earlier robot model over a battery overheating issue, unrelated to the company's newly unveiled home assistant robot.",2026-05-01,2026-09-01,"Tokyo, Japan","Tokyo, Japan",MettaBotics; new robot unveiling,MettaBotics; earlier model recall,DIFFERENT_EVENT,"Same company, but unveiling a new robot and recalling an unrelated older model months later are separate events."
P0304,T040-A,T042-A,TECH_040,TECH_042,Technology,medium,same_topic_different_event,MettaBotics Unveils Home Assistant Robot,"Robotics company MettaBotics unveiled a new home assistant robot Friday, designed to handle basic chores like tidying and simple cooking prep using onboard AI.",Rival Firm Cobalt Robotics Unveils Competing Home Robot,"Competitor Cobalt Robotics introduced its own home assistant robot Sunday, entering a market segment recently targeted by a rival company's similar product.",2026-05-01,2026-05-10,"Tokyo, Japan",Undisclosed,MettaBotics; home robot,Cobalt Robotics; home robot,DIFFERENT_EVENT,"Both are home assistant robot launches within days of each other, but from two unrelated, competing companies."
P0305,T043-A,T044-A,TECH_043,TECH_044,Technology,medium,follow_up,Undersea Cable Cut Triggers Major Internet Outage,"A widespread internet outage struck the region Monday after an undersea cable was severed, disrupting connectivity for millions of users, service providers confirmed.",Internet Service Restored After Cable Repair,"Internet connectivity was fully restored Friday after crews completed repairs to the undersea cable severed earlier in the week, providers said.",2026-06-01,2026-06-05,Regional,Regional,undersea cable; internet outage,undersea cable; service restoration,SAME_EVENT,The service restoration is a direct continuation of the same cable-cut outage event described in the first article.
P0306,T043-A,T045-A,TECH_043,TECH_045,Technology,hard,different_incident,Undersea Cable Cut Triggers Major Internet Outage,"A widespread internet outage struck the region Monday after an undersea cable was severed, disrupting connectivity for millions of users, service providers confirmed.",Separate Cable Cut Disrupts Different Region,"A different undersea cable was severed Monday, disrupting internet service in an unrelated region, separate from the earlier outage caused by a different cable cut.",2026-06-01,2026-06-15,Regional,Different region,undersea cable; outage,different cable; different region outage,DIFFERENT_EVENT,"Both are undersea cable outage stories with similar framing, but they involve two entirely different cables and regions two weeks apart."
P0307,T040-B,T046-A,TECH_040,TECH_046,Technology,hard,same_entities_different_date,MettaBotics Debuts AI-Powered Household Robot,"MettaBotics introduced a household robot this week capable of performing routine chores using onboard artificial intelligence, positioning it as an early entrant in the consumer robotics market.",MettaBotics Unveils Second-Generation Home Robot,"MettaBotics introduced a second-generation home assistant robot Saturday, a year after its original model, adding improved object recognition and a longer battery life.",2026-05-01,2027-05-01,"Tokyo, Japan","Tokyo, Japan",MettaBotics; original home robot,MettaBotics; second-gen robot,DIFFERENT_EVENT,"Same company and product line, but the original robot unveiling and the second-generation launch a year later are distinct product events."
P0308,T047-A,T048-A,TECH_047,TECH_048,Technology,medium,follow_up,NeuroLync Announces Gene-Editing AI Tool,"Biotech-AI startup NeuroLync announced Sunday a new AI tool designed to accelerate gene-editing research, claiming it can predict editing outcomes with higher accuracy than existing methods.",NeuroLync Partners With Pharma Company,"NeuroLync announced a partnership Wednesday with a major pharmaceutical company to apply its gene-editing AI tool to drug development, four months after the tool's initial unveiling.",2026-03-01,2026-07-01,Undisclosed,Undisclosed,NeuroLync; gene-editing AI tool,NeuroLync; pharma partnership,SAME_EVENT,The partnership is a direct continuation of the same gene-editing AI tool described in the first article.
P0309,T047-B,T047-A,TECH_047,TECH_047,Technology,hard,different_detail_level,Inside NeuroLync's Gene-Editing AI Breakthrough,"NeuroLync's newly announced AI tool uses a proprietary model trained on millions of gene editing outcomes to predict off-target effects before experiments are run, the company's chief scientist explained this week, a capability that could significantly reduce the time and cost of early-stage gene therapy research. Independent researchers who reviewed early benchmarks said the tool's predictions appeared more accurate than existing computational methods, though they cautioned that wider validation across different cell types would be needed before the tool sees broad adoption. NeuroLync said it plans to make a limited version available to academic researchers later this year.",NeuroLync Announces Gene-Editing AI Tool,"Biotech-AI startup NeuroLync announced Sunday a new AI tool designed to accelerate gene-editing research, claiming it can predict editing outcomes with higher accuracy than existing methods.",2026-03-03,2026-03-01,Undisclosed,Undisclosed,NeuroLync; AI tool details,NeuroLync; gene-editing AI tool,SAME_EVENT,The second article provides much deeper technical detail about the same AI tool announcement briefly reported in the first.
P0310,T044-A,T045-A,TECH_044,TECH_045,Technology,very_hard,same_topic_different_event,Internet Service Restored After Cable Repair,"Internet connectivity was fully restored Friday after crews completed repairs to the undersea cable severed earlier in the week, providers said.",Separate Cable Cut Disrupts Different Region,"A different undersea cable was severed Monday, disrupting internet service in an unrelated region, separate from the earlier outage caused by a different cable cut.",2026-06-05,2026-06-15,Regional,Different region,undersea cable; service restoration,different cable; different region outage,DIFFERENT_EVENT,"Both concern undersea cable internet disruptions in the same general period, but the restoration relates to the original cable cut while the second article is an unrelated cut affecting a different region."
