pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0101,T014-A,T014-B,TECH_014,TECH_014,Technology,easy,paraphrase,HaloSoft Rolls Out Atlas OS 5.0,"HaloSoft released Atlas OS 5.0 on Tuesday, the company's biggest operating system update in three years, adding a redesigned interface and native support for AI-powered search across the file system. The rollout began with existing users receiving the update automatically over the coming week.",Atlas OS 5.0 Arrives With Redesigned Interface,"HaloSoft has begun distributing Atlas OS 5.0, a major overhaul that replaces long-standing menu layouts with a simplified design and folds AI search directly into the operating system. Company engineers said the update took over two years to develop.",2026-09-01,2026-09-01,"Seattle, USA","Seattle, USA",HaloSoft; Atlas OS 5.0,HaloSoft; Atlas OS 5.0,SAME_EVENT,Both articles describe the identical Atlas OS 5.0 release with the same core features and timing.
P0102,T014-C,T014-A,TECH_014,TECH_014,Technology,medium,different_source,Reviewers Weigh In on HaloSoft's Newest Update,"Early hands-on impressions of HaloSoft's newest operating system release are largely positive, tech reviewers said this week, praising the streamlined navigation while flagging some early bugs in the AI search feature that the company says it is already working to patch.",HaloSoft Rolls Out Atlas OS 5.0,"HaloSoft released Atlas OS 5.0 on Tuesday, the company's biggest operating system update in three years, adding a redesigned interface and native support for AI-powered search across the file system. The rollout began with existing users receiving the update automatically over the coming week.",2026-09-03,2026-09-01,"Seattle, USA","Seattle, USA",HaloSoft; Atlas OS,HaloSoft; Atlas OS 5.0,SAME_EVENT,A reviewer roundup covering reactions to the same Atlas OS 5.0 rollout announced days earlier.
P0103,T014-A,T016-A,TECH_014,TECH_016,Technology,easy,same_entity_different_event,HaloSoft Rolls Out Atlas OS 5.0,"HaloSoft released Atlas OS 5.0 on Tuesday, the company's biggest operating system update in three years, adding a redesigned interface and native support for AI-powered search across the file system. The rollout began with existing users receiving the update automatically over the coming week.",HaloSoft Acquires Cloud Storage Firm Vault9,"HaloSoft announced Thursday it has acquired Vault9, a cloud storage startup, in a deal aimed at strengthening the company's backup and syncing capabilities across its product line.",2026-09-01,2026-10-01,"Seattle, USA","Seattle, USA",HaloSoft; Atlas OS 5.0,HaloSoft; Vault9 acquisition,DIFFERENT_EVENT,"Same company, but an operating system release and an unrelated acquisition a month later are separate events."
P0104,T014-A,T017-A,TECH_014,TECH_017,Technology,medium,same_topic_different_event,HaloSoft Rolls Out Atlas OS 5.0,"HaloSoft released Atlas OS 5.0 on Tuesday, the company's biggest operating system update in three years, adding a redesigned interface and native support for AI-powered search across the file system. The rollout began with existing users receiving the update automatically over the coming week.",PixelWorks Unveils Rival Operating System,"Competitor PixelWorks introduced its own overhauled operating system Saturday, positioning the release as a direct challenge to established players in the desktop software market.",2026-09-01,2026-09-05,"Seattle, USA","Portland, USA",HaloSoft; Atlas OS,PixelWorks; operating system,DIFFERENT_EVENT,"Both are major operating system launches in the same week, but from two unrelated companies."
P0105,T018-A,T019-A,TECH_018,TECH_019,Technology,medium,follow_up,Fire at Data Center Disrupts CloudNine Services,"A fire at a CloudNine data center in Dublin knocked several services offline Sunday, the company confirmed, though no injuries were reported among staff on site.",CloudNine Restores Full Service After Data Center Fire,"CloudNine said Tuesday it has restored full functionality to all affected services following the fire at its Dublin data center earlier in the week, with backup systems having absorbed most of the load during repairs.",2026-11-01,2026-11-03,"Dublin, Ireland","Dublin, Ireland",CloudNine; data center fire,CloudNine; service restoration,SAME_EVENT,The restoration update is a direct continuation of the same data center fire incident described in the first article.
P0106,T018-A,T020-A,TECH_018,TECH_020,Technology,hard,different_incident,Fire at Data Center Disrupts CloudNine Services,"A fire at a CloudNine data center in Dublin knocked several services offline Sunday, the company confirmed, though no injuries were reported among staff on site.",Separate Outage Hits Rival Firm ServeRight in Dublin,"ServeRight, a competing cloud provider also based in Dublin, experienced its own service outage Tuesday, unrelated to the earlier fire at a nearby data center operated by a different company.",2026-11-01,2026-11-10,"Dublin, Ireland","Dublin, Ireland",CloudNine; data center fire,ServeRight; outage,DIFFERENT_EVENT,"Same city and similar disruption type, but two different companies experiencing separate incidents over a week apart."
P0107,T014-B,T015-A,TECH_014,TECH_015,Technology,hard,same_entities_different_date,Atlas OS 5.0 Arrives With Redesigned Interface,"HaloSoft has begun distributing Atlas OS 5.0, a major overhaul that replaces long-standing menu layouts with a simplified design and folds AI search directly into the operating system. Company engineers said the update took over two years to develop.",HaloSoft Ships Atlas OS 5.1 Patch,"HaloSoft released Atlas OS 5.1 on Tuesday, a patch update addressing bugs reported since the operating system's major release three months earlier, including fixes to the AI search feature.",2026-09-01,2026-12-01,"Seattle, USA","Seattle, USA",HaloSoft; Atlas OS 5.0,HaloSoft; Atlas OS 5.1,DIFFERENT_EVENT,"Same product family and company, but the original 5.0 launch and the later 5.1 patch release are distinct, separately dated releases."
P0108,T021-A,T022-A,TECH_021,TECH_022,Technology,medium,follow_up,DriveSync Gets Approval for Self-Driving Car Tests,"Regulators in Phoenix granted DriveSync approval Saturday to begin testing autonomous vehicles on designated public roads, following months of safety review.",DriveSync Begins First Public Road Trials,"DriveSync's self-driving cars hit Phoenix streets for the first time Tuesday, marking the start of public trials following the company's regulatory approval last month.",2026-08-01,2026-09-15,"Phoenix, USA","Phoenix, USA",DriveSync; regulatory approval,DriveSync; road trials,SAME_EVENT,The road trials are the direct next step of the same approval process described in the first article.
P0109,T021-A,T023-A,TECH_021,TECH_023,Technology,hard,different_incident,DriveSync Gets Approval for Self-Driving Car Tests,"Regulators in Phoenix granted DriveSync approval Saturday to begin testing autonomous vehicles on designated public roads, following months of safety review.",AutoPilot Labs Also Cleared for Testing in Phoenix,"A separate self-driving company, AutoPilot Labs, received its own testing approval in Phoenix three weeks after a competitor secured similar clearance, regulators confirmed.",2026-08-01,2026-08-20,"Phoenix, USA","Phoenix, USA",DriveSync; approval,AutoPilot Labs; approval,DIFFERENT_EVENT,"Same city and same type of regulatory clearance, but two different self-driving companies receiving separate approvals weeks apart."
P0110,T019-A,T020-A,TECH_019,TECH_020,Technology,very_hard,same_topic_different_event,CloudNine Restores Full Service After Data Center Fire,"CloudNine said Tuesday it has restored full functionality to all affected services following the fire at its Dublin data center earlier in the week, with backup systems having absorbed most of the load during repairs.",Separate Outage Hits Rival Firm ServeRight in Dublin,"ServeRight, a competing cloud provider also based in Dublin, experienced its own service outage Tuesday, unrelated to the earlier fire at a nearby data center operated by a different company.",2026-11-03,2026-11-10,"Dublin, Ireland","Dublin, Ireland",CloudNine; service restoration,ServeRight; outage,DIFFERENT_EVENT,"Both concern Dublin cloud infrastructure incidents in the same general week, but the CloudNine restoration is the tail end of one event while the ServeRight outage is an unrelated separate incident at a different company."
