"pair_id","article_a_id","article_b_id","event_a_id","event_b_id","category","difficulty","relationship_type","article_a_title","article_a_text","article_b_title","article_b_text","date_a","date_b","location_a","location_b","entities_a","entities_b","ground_truth","reason"
"P0901","T200-A","T200-B","TECH_200","TECH_200","Technology","easy","paraphrase","Corvalen Systems Launches Thistledown Voice Chip","Corvalen Systems launched Thistledown on Tuesday, a low-power chip designed to run voice-recognition models entirely on small household devices without a network connection. The company said the chip draws under 200 milliwatts during active listening. Executives demonstrated the part inside a prototype smart speaker at a briefing in Leipzig.","Leipzig Firm Unveils On-Device Voice Recognition Chip","Corvalen Systems has introduced a chip called Thistledown that performs voice recognition locally on compact devices, cutting reliance on cloud servers for basic commands. The company said power draw stays below 200 milliwatts while listening. A prototype speaker running the chip was shown to reporters in Leipzig.","2026-09-02","2026-09-02","Leipzig, Germany","Leipzig, Germany","Corvalen Systems; Thistledown chip","Corvalen Systems; Thistledown","SAME_EVENT","Same chip launch in the same city on the same day, told in different words."
"P0902","T200-A","T201-A","TECH_200","TECH_201","Technology","medium","same_entity_different_event","Corvalen Systems Launches Thistledown Voice Chip","Corvalen Systems launched Thistledown on Tuesday, a low-power chip designed to run voice-recognition models entirely on small household devices without a network connection. The company said the chip draws under 200 milliwatts during active listening. Executives demonstrated the part inside a prototype smart speaker at a briefing in Leipzig.","Corvalen Systems Opens Test Lab in Porto","Corvalen Systems has opened a hardware testing facility in Porto, its first outside Germany, to support certification of devices using its chips. The lab can run thermal and radio-interference tests that previously required outside contractors, a change the company said would shorten certification timelines for customers building products around its audio and voice chips. About 40 engineers will staff the site, with recruitment focused on radio-frequency specialists drawn partly from a local university programme. Corvalen said the facility would also handle reliability testing for automotive-grade parts, a market it has been trying to enter for two years. The company did not disclose the investment figure but said the site had been planned since a review of certification bottlenecks last year.","2026-09-02","2026-11-18","Leipzig, Germany","Porto, Portugal","Corvalen Systems; Thistledown chip","Corvalen Systems; Porto test lab","DIFFERENT_EVENT","Same company, but a product launch and a separate facility opening more than two months later are different events."
"P0903","T202-A","T202-B","TECH_202","TECH_202","Technology","medium","different_source","Fennwick Cloud Suffers Regional Outage","Fennwick Cloud's eastern European region went down for roughly ninety minutes on Thursday, the company said, affecting customers relying on that zone for storage and compute. Engineers traced the fault to a failed network switch. Service was restored by mid-afternoon.","Ninety-Minute Outage Hits Fennwick's Eastern Region","Customers using Fennwick Cloud's eastern European infrastructure lost access for about ninety minutes on Thursday after a network switch failed, the provider said. The company said redundant paths did not activate as designed. Full service returned by mid-afternoon.","2027-01-08","2027-01-08","Warsaw, Poland","Warsaw, Poland","Fennwick Cloud; regional outage; network switch","Fennwick Cloud; outage; redundant paths","SAME_EVENT","Two reports of the same outage on the same day, differing in structure but not substance."
"P0904","T202-A","T203-A","TECH_202","TECH_203","Technology","hard","different_incident","Fennwick Cloud Suffers Regional Outage","Fennwick Cloud's eastern European region went down for roughly ninety minutes on Thursday, the company said, affecting customers relying on that zone for storage and compute. Engineers traced the fault to a failed network switch. Service was restored by mid-afternoon.","Bramstell Hosting Reports Separate Outage in Same Region","Bramstell Hosting said a routing error knocked out service to customers in eastern Europe for about forty minutes on Monday, unrelated to the outage at a competing provider the previous week. The company said a configuration change had not been tested adequately before deployment, and that the change had been intended to improve failover between two data centres rather than affect live traffic. Engineers rolled back the change within thirty minutes of the first alerts, though full recovery took longer as cached routes propagated. Bramstell said it was reviewing its change-management process and would require a second engineer to approve routing changes going forward. Customers on the affected tier receive service credits under the company's standard terms, which Bramstell said would be applied automatically without customers needing to file a claim.","2027-01-08","2027-01-12","Warsaw, Poland","Warsaw, Poland","Fennwick Cloud; regional outage; network switch","Bramstell Hosting; outage; routing error","DIFFERENT_EVENT","Two different cloud providers experiencing separate outages in the same region days apart, explicitly described as unrelated."
"P0905","T204-A","T204-B","TECH_204","TECH_204","Technology","medium","different_detail_level","Aldervine Robotics Ships First Warehouse Picking Arm","Aldervine Robotics began shipping its first warehouse picking arm to customers on Monday.","Aldervine's Picking Arm Reaches First Customers","The picking arm developed by Aldervine Robotics started arriving at customer warehouses this week, following eighteen months of pilot testing with two logistics firms. The company said the arm can identify and grip roughly 400 distinct item shapes without reprogramming, using a vision system trained on data gathered during the pilots. Aldervine said it has orders for 60 units through the end of the year, with delivery slots now booking into next spring.","2027-04-12","2027-04-12","Eindhoven, Netherlands","Eindhoven, Netherlands","Aldervine Robotics; picking arm shipment","Aldervine Robotics; picking arm; pilot testing","SAME_EVENT","Short item and detailed report on the identical shipment milestone on the same day."
"P0906","T205-A","T205-B","TECH_205","TECH_205","Technology","very_hard","entity_normalization","Regulator Fines Marrowgate Over Location Data Practices","The data protection regulator fined Marrowgate 18 million on Wednesday, finding that the company's navigation app collected location history beyond what its stated purpose required. Marrowgate has ninety days to change its data retention practices. The company said it disagreed with parts of the finding.","Watchdog Penalises Navigation App Maker","The privacy watchdog has penalised the maker of a widely used navigation app, ruling that location data was kept and used well beyond the stated purpose of the collection. The company must revise its retention practices within three months. It indicated it may contest elements of the decision.","2026-12-04","2026-12-04","Brussels, Belgium","Brussels, Belgium","data protection regulator; Marrowgate; location data fine","privacy watchdog; navigation app maker","SAME_EVENT","Same enforcement decision on the same day, with the regulator and company named formally in one article and described generically in the other."
"P0907","T206-A","T206-B","TECH_206","TECH_206","Technology","easy","paraphrase","Solmere Labs Open-Sources Image Compression Codec","Solmere Labs released its Palisade image codec as open source on Friday, saying independent tests show file sizes roughly 20 percent smaller than a common existing format at equal visual quality. The code is available under a permissive licence. Solmere said it would continue development in the open.","Palisade Codec Goes Open Source","Solmere Labs has made its Palisade image codec freely available under an open licence, with the company citing internal benchmarks showing about 20 percent smaller files than a widely used alternative at comparable quality. Future development will happen in public. The release went live Friday.","2027-06-11","2027-06-11","Stockholm, Sweden","Stockholm, Sweden","Solmere Labs; Palisade codec; open source","Solmere Labs; Palisade codec","SAME_EVENT","Same open-source release on the same date in different wording."
"P0908","T207-A","T212-A","TECH_207","TECH_212","Technology","medium","follow_up","Corivex Health App Pulled After Data Exposure","The Corivex health-tracking app was removed from app stores on Tuesday after researchers found that a misconfigured server exposed user records, the company said. Corivex said it was investigating scope.","Corivex Announces Compensation Fund for Affected Users","Corivex said it would offer account credits to users affected by the earlier data exposure, following criticism over its initial response. The fund covers roughly 600,000 accounts identified in the incident. The company said the credits would be applied automatically within thirty days.","2027-08-17","2027-09-14","San Diego, USA","San Diego, USA","Corivex; app removal; data exposure","Corivex; compensation fund; affected users","DIFFERENT_EVENT","The exposure disclosure and the later compensation announcement are separate reported developments about four weeks apart."
"P0909","T208-A","T211-A","TECH_208","TECH_211","Technology","very_hard","same_entities_different_date","Corvalen Systems Reports Record Quarterly Shipments","Corvalen Systems said Thursday it shipped a record 14 million chips in the quarter, up 22 percent from a year earlier, driven by demand for its low-power audio line. The Leipzig company raised its full-year shipment guidance.","Corvalen Ships Record Volume Again Next Quarter","Corvalen Systems reported another record quarter on Thursday, shipping 16 million chips, an increase of 14 percent from the prior quarter, with the audio line again cited as the main driver. The company raised guidance for the second consecutive quarter.","2027-10-21","2028-01-20","Leipzig, Germany","Leipzig, Germany","Corvalen Systems; record shipments; quarterly results","Corvalen Systems; record shipments; quarterly results","DIFFERENT_EVENT","Same company reporting in nearly identical language, but these are two separate quarterly results releases three months apart."
"P0910","T203-A","T209-A","TECH_203","TECH_209","Technology","hard","same_topic_different_event","Bramstell Hosting Reports Separate Outage in Same Region","Bramstell Hosting said a routing error knocked out service to customers in eastern Europe for about forty minutes on Monday, unrelated to the outage at a competing provider the previous week. The company said a configuration change had not been tested adequately before deployment, and that the change had been intended to improve failover between two data centres rather than affect live traffic. Engineers rolled back the change within thirty minutes of the first alerts, though full recovery took longer as cached routes propagated. Bramstell said it was reviewing its change-management process and would require a second engineer to approve routing changes going forward. Customers on the affected tier receive service credits under the company's standard terms, which Bramstell said would be applied automatically without customers needing to file a claim.","Bramstell Announces New Data Centre in Gdansk","Bramstell Hosting said it would open a new data centre in Gdansk next year, its fourth facility in the region, to meet growing demand from customers requiring in-country data storage. Construction begins in the spring, with the company targeting completion within fourteen months. Bramstell said the site was chosen partly for its access to renewable power from an offshore wind connection completed last year, which the company said would let it market the facility as low-carbon. The expansion follows two smaller regional outages that Bramstell said were unrelated to the capacity decision, though analysts noted the timing invites comparison. The company did not disclose capacity figures but said the facility would roughly double its regional footprint.","2027-01-12","2027-03-30","Warsaw, Poland","Gdansk, Poland","Bramstell Hosting; outage; routing error","Bramstell Hosting; Gdansk data centre; expansion","DIFFERENT_EVENT","Same company mentioned in both, but an outage report and a later facility expansion announcement are unrelated events."
