pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0201,T024-A,T024-B,TECH_024,TECH_024,Technology,easy,paraphrase,ByteWave Launches Ad-Supported Streaming Tier,"Streaming platform ByteWave introduced a new ad-supported subscription tier Sunday, offering a lower monthly price in exchange for periodic commercial breaks during content playback.",ByteWave Adds Cheaper Tier With Ads,"ByteWave rolled out a discounted subscription option this week that includes advertisements, giving budget-conscious viewers an alternative to its standard ad-free plan.",2026-02-01,2026-02-01,"Austin, USA","Austin, USA",ByteWave; ad-supported tier,ByteWave; discounted tier,SAME_EVENT,Both articles describe the same newly launched ByteWave ad-supported subscription tier on the same date.
P0202,T024-C,T024-A,TECH_024,TECH_024,Technology,medium,different_source,What to Know About ByteWave's New Ad Tier,"ByteWave's freshly launched ad-supported plan cuts the monthly price by nearly 40 percent compared to the ad-free option, the company confirmed, though it limits simultaneous streams to a single device.",ByteWave Launches Ad-Supported Streaming Tier,"Streaming platform ByteWave introduced a new ad-supported subscription tier Sunday, offering a lower monthly price in exchange for periodic commercial breaks during content playback.",2026-02-02,2026-02-01,"Austin, USA","Austin, USA",ByteWave; ad tier pricing,ByteWave; ad-supported tier,SAME_EVENT,A pricing-focused follow-up covering the same ad-tier launch reported a day earlier.
P0203,T024-A,T026-A,TECH_024,TECH_026,Technology,easy,same_entity_different_event,ByteWave Launches Ad-Supported Streaming Tier,"Streaming platform ByteWave introduced a new ad-supported subscription tier Sunday, offering a lower monthly price in exchange for periodic commercial breaks during content playback.",ByteWave Signs Exclusive Content Deal With Studio,"ByteWave announced Sunday it has signed an exclusive licensing agreement with a major film studio, securing streaming rights to dozens of titles beginning next year.",2026-02-01,2026-03-01,"Austin, USA","Austin, USA",ByteWave; ad tier,ByteWave; studio content deal,DIFFERENT_EVENT,"Same platform, but launching a new pricing tier and signing an unrelated content licensing deal a month later are separate events."
P0204,T024-A,T027-A,TECH_024,TECH_027,Technology,medium,same_topic_different_event,ByteWave Launches Ad-Supported Streaming Tier,"Streaming platform ByteWave introduced a new ad-supported subscription tier Sunday, offering a lower monthly price in exchange for periodic commercial breaks during content playback.",Rival Platform StreamLoop Launches Its Own Ad Tier,"Competitor StreamLoop introduced a similar ad-supported subscription option Tuesday, entering a pricing category recently occupied by a rival streaming service.",2026-02-01,2026-02-10,"Austin, USA",Undisclosed,ByteWave; ad tier,StreamLoop; ad tier,DIFFERENT_EVENT,"Both are streaming services launching ad-supported tiers within days of each other, but the two announcements come from separate, unrelated companies."
P0205,T028-A,T029-A,TECH_028,TECH_029,Technology,medium,follow_up,Chip Shortage Forces Auto Industry Slowdown,"A global shortage of semiconductor chips has forced automakers to slow production lines this month, industry analysts said, as manufacturers struggle to secure enough components for vehicle electronics.","Chip Shortage Eases, Auto Production Resumes","The semiconductor shortage that slowed vehicle production earlier this year has begun to ease, automakers said Monday, allowing several plants to resume normal output levels.",2026-01-01,2026-06-01,Global,Global,chip shortage; auto industry,chip shortage; production resumes,SAME_EVENT,The easing of production constraints is a direct continuation of the same chip shortage event described in the first article.
P0206,T028-A,T030-A,TECH_028,TECH_030,Technology,hard,different_incident,Chip Shortage Forces Auto Industry Slowdown,"A global shortage of semiconductor chips has forced automakers to slow production lines this month, industry analysts said, as manufacturers struggle to secure enough components for vehicle electronics.",Separate Chip Shortage Hits Appliance Manufacturers,"A different semiconductor shortage, involving chips used in home appliances rather than vehicles, has begun disrupting production at several manufacturers, industry groups said Thursday.",2026-01-01,2026-01-15,Global,Global,chip shortage; auto industry,chip shortage; appliance manufacturers,DIFFERENT_EVENT,"Both are semiconductor shortage stories from the same period with similar framing, but they affect different industries and involve different chip types."
P0207,T024-B,T025-A,TECH_024,TECH_025,Technology,hard,same_entities_different_date,ByteWave Adds Cheaper Tier With Ads,"ByteWave rolled out a discounted subscription option this week that includes advertisements, giving budget-conscious viewers an alternative to its standard ad-free plan.",ByteWave Raises Ad-Tier Price Six Months Later,"ByteWave increased the price of its ad-supported subscription tier Saturday, citing rising content licensing costs since the tier's launch earlier in the year.",2026-02-01,2026-08-01,"Austin, USA","Austin, USA",ByteWave; ad-supported tier launch,ByteWave; ad-tier price increase,DIFFERENT_EVENT,"Same product and company, but the original tier launch and a separate price increase six months later are distinct pricing events."
P0208,T031-A,T032-A,TECH_031,TECH_032,Technology,medium,follow_up,AI Startup Verity Raises $50M Seed Round,"London-based AI startup Verity announced Wednesday it has raised $50 million in seed funding, one of the largest such rounds in the city this year.",Verity Launches Beta Product Following Funding,"Verity launched a beta version of its flagship product Wednesday, three months after closing its record seed funding round.",2026-04-01,2026-07-01,"London, UK","London, UK",Verity; seed funding,Verity; beta launch,SAME_EVENT,The beta launch is a direct continuation of the same funding and product development described in the first article.
P0209,T031-B,T031-A,TECH_031,TECH_031,Technology,hard,different_detail_level,Inside Verity's Record London Seed Round,"Verity's $50 million seed round, announced this week, is among the largest early-stage raises London's AI sector has seen in the past two years, according to investors familiar with the deal, who said the round was led by a consortium of venture firms betting on the startup's approach to automated data analysis. The company, founded just 18 months ago by two former researchers, plans to use the funding to triple its engineering team and accelerate development of its core product ahead of a planned beta launch later this year. Investors said Verity's early enterprise pilots showed promising retention numbers, a key factor in the round's oversubscription.",AI Startup Verity Raises $50M Seed Round,"London-based AI startup Verity announced Wednesday it has raised $50 million in seed funding, one of the largest such rounds in the city this year.",2026-04-03,2026-04-01,"London, UK","London, UK",Verity; seed funding details,Verity; seed funding,SAME_EVENT,The second article gives extensive background and investor detail about the same $50 million seed round briefly reported in the first.
P0210,T029-A,T030-A,TECH_029,TECH_030,Technology,very_hard,same_topic_different_event,"Chip Shortage Eases, Auto Production Resumes","The semiconductor shortage that slowed vehicle production earlier this year has begun to ease, automakers said Monday, allowing several plants to resume normal output levels.",Separate Chip Shortage Hits Appliance Manufacturers,"A different semiconductor shortage, involving chips used in home appliances rather than vehicles, has begun disrupting production at several manufacturers, industry groups said Thursday.",2026-06-01,2026-01-15,Global,Global,chip shortage; auto production resumes,chip shortage; appliance manufacturers,DIFFERENT_EVENT,"Both concern semiconductor shortage news, but the production resumption relates specifically to the auto industry chip shortage while the second article is an unrelated shortage affecting appliance makers earlier in the year."
P0211,P021-A,P021-B,POL_021,POL_021,Politics,easy,paraphrase,Governor Frost Signs Education Funding Bill,"Governor Elias Frost signed a bill Sunday directing an additional $800 million toward public school funding over the next three years, calling it a long-overdue investment.",Frost Enacts Major Education Funding Increase,"Elias Frost put his signature on legislation this week that boosts public school funding by $800 million, following months of budget negotiations with the legislature.",2026-02-01,2026-02-01,Ridgeport,Ridgeport,Elias Frost; education funding bill,Elias Frost; education funding,SAME_EVENT,Both articles describe the same education funding bill signed by Governor Frost on the same date.
